IMPACTREE STANDARD QUESTIONNAIRE,,,,,,,,,,,,,,,,
A unified sustainability disclosure framework integrating BRSR · CDP · EcoVadis · GRI  |  Version 1.0  |  © Impactree,,,,,,,,,,,,,,,,
Standard Coverage Legend:  🟢 All 4 standards  |  🟡 3 standards  |  🟠 2 standards  |  🔵 1 standard  |  ⚪ No source mapping (reserved indicator),,,,,,,,,,,,,,,,
Impactree ID,Module,Indicator,Impactree Question,Response Format,Metric / Unit,Reporting Period,Guidance Note,BRSR,CDP,"Eco
Vadis",GRI,"Standards
Covered",BRSR IDs,CDP IDs,EcoVadis IDs,GRI IDs
IMP-M05-I09,GHG Emissions & Climate Change,Biogenic Emissions,Report biogenic CO2 emissions separately. Describe the sources and the methodology used for calculation.,Numeric,Metric tons CO2 (biogenic),Current FY + Previous FY,"Report biogenic CO2 emissions separately from fossil-fuel GHG emissions. Describe the sources (e.g., biomass combustion, land-use change) and the methodology used for calculation.",—,—,—,✓,1,,,,GRI-305-6a | GRI-305-6b | GRI-305-6c | GRI-305-6d
  M06  ·  ENERGY,,,,,,,,,,,,,,,,
IMP-M06-I01,Energy,Total Energy Consumption,"Report total energy consumption within your organization in joules or multiples, including a breakdown by electricity, fuel (renewable and non-renewable), heating, cooling, and steam.",Data Table,Gigajoules (GJ) or MWh,Current FY + Previous FY,"Report total energy consumed within the organization broken down by source: electricity, fuel (by type), heating, cooling, and steam. Distinguish purchased vs. self-generated energy. Indicate if independently assured.",✓,✓,—,✓,3,BRSR-1 | BRSR-1,CDP-7.15 | CDP-7.15.1 | CDP-7.15.2 | CDP-7.15.3 | CDP-7.15.4,,GRI-103-1a | GRI-103-1b | GRI-302-1a | GRI-302-1b | GRI-302-1c | GRI-302-1i | GRI-302-1d | GRI-302-1e | GRI-302-1f | GRI-302-1g | GRI-302-2a | GRI-302-2b | GRI-302-2c
IMP-M06-I02,Energy,Renewable Energy Consumption,"Report total energy consumption from renewable sources, broken down by type (solar, wind, hydro, biomass, geothermal, other).",Data Table,Gigajoules (GJ) or MWh,Current FY + Previous FY,"Report energy consumed from renewable sources broken down by type: solar, wind, hydro, biomass, geothermal, and renewable electricity purchased (with or without certificates). Indicate the basis of classification.",—,✓,—,✓,2,,CDP-7.18 | CDP-7.18.1 | CDP-7.18.2 | CDP-7.18.3,,GRI-103-2a | GRI-103-2i | GRI-103-2b | GRI-103-2c | GRI-103-2d | GRI-103-2e | GRI-103-2f
IMP-M06-I03,Energy,Non-Renewable Energy Consumption,"Report total energy consumption from non-renewable sources, broken down by fuel type (coal, natural gas, oil, diesel, other).",Data Table,Gigajoules (GJ) or MWh,Current FY + Previous FY,"Report energy consumed from non-renewable sources broken down by fuel type: coal, natural gas, diesel, furnace oil, petrol, and other. Include fuels used for owned and leased vehicles if material.",—,—,—,✓,1,,,,GRI-103-3a | GRI-103-3b
IMP-M06-I04,Energy,Energy Sold,"Report electricity, heating, cooling, and steam sold to external parties during the reporting period.",Data Table,Gigajoules (GJ) or MWh,Current FY,"Report total electricity, heating, cooling, and steam sold to external parties. This is deducted from total energy consumption calculations. Specify the type and purchaser where relevant.",—,—,—,—,0,,,,
IMP-M06-I05,Energy,Energy Intensity,"Report your organization's energy intensity per unit of revenue, production, or other relevant metric. Specify the metric used.",Data Table,GJ per INR crore / GJ per unit produced,Current FY + Previous FY,"Report energy intensity using at least one metric (energy per unit of revenue, per unit of output, or other relevant denominator). Clearly specify the denominator and which energy types are included.",—,—,—,✓,1,,,,GRI-103-4a | GRI-103-4b | GRI-103-4c | GRI-302-3a | GRI-302-3b | GRI-302-3c | GRI-302-3d
IMP-M06-I06,Energy,Energy Reduction Targets & Performance,"What are your organization's energy reduction targets? Report progress against these targets, including PAT Scheme compliance where applicable.",Mixed,GJ or MWh; % reduction,Current FY vs. target year,"State energy reduction targets (absolute and/or intensity-based). Report progress to date. If applicable, disclose PAT Scheme designation, assigned targets, and whether targets have been achieved.",✓,✓,—,✓,3,BRSR-2 | BRSR-2,CDP-7.17 | CDP-7.17.1 | CDP-7.17.2 | CDP-7.17.3,,GRI-103-5a | GRI-103-5i | GRI-103-5b | GRI-103-5c | GRI-103-5d | GRI-103-5e | GRI-103-5f
IMP-M06-I07,Energy,Energy Efficiency Initiatives,"Describe initiatives, technologies, and programs implemented to improve energy efficiency or reduce energy demand in operations and/or products.",Data Table,GJ or MWh saved; INR / USD invested,Current FY,"List specific energy efficiency projects or programs implemented. For each, describe the initiative, technology used, energy saved (GJ or MWh), and financial savings or investment associated.",—,✓,✓,✓,3,,CDP-7.16,EV-ENV310,GRI-302-5a | GRI-302-5b | GRI-302-5c
  M07  ·  WATER & EFFLUENTS,,,,,,,,,,,,,,,,
IMP-M07-I01,Water & Effluents,Water Withdrawal by Source,"Report the total volume of water withdrawn from all sources (surface water, groundwater, third-party water, seawater/desalinated water, and other) in kilolitres or megalitres.",Data Table,Kilolitres (KL) or Megalitres (ML),Current FY + Previous FY,"Report water withdrawn from each source: surface water, groundwater, third-party water (municipal/utility), seawater/desalinated water, and other. Report total withdrawal. Indicate if independently assured.",✓,✓,✓,✓,4,BRSR-3 | BRSR-3,CDP-9.1 | CDP-9.1.1 | CDP-9.2 | CDP-9.2.1 | CDP-9.2.2 | CDP-9.2.3 | CDP-9.2.4 | CDP-9.2.5 | CDP-9.2.6 | CDP-9.2.7 | CDP-9.2.8 | CDP-9.2.9 | CDP-9.2.10 | CDP-9.3 | CDP-9.3.1 | CDP-9.3.2 | CDP-9.15 | CDP-9.15.1 | CDP-9.15.2 | CDP-9.15.3 | CDP-9.12 | CDP-9.13 | CDP-9.13.1 | CDP-9.14,EV-ENV6332,GRI-303-3a | GRI-303-3i | GRI-303-3v | GRI-303-3b | GRI-303-3c | GRI-303-3d
IMP-M07-I02,Water & Effluents,Total Water Consumption,Report the total volume of water consumed by your organization during the reporting period.,Numeric,Kilolitres (KL) or Megalitres (ML),Current FY + Previous FY,Report total water consumed (withdrawn minus discharged). Provide a breakdown by facility or region if material. Indicate if any water is consumed outside organizational boundaries.,—,✓,—,✓,2,,CDP-9.4 | CDP-9.4.1,,GRI-303-5a | GRI-303-5b | GRI-303-5c | GRI-303-5d
IMP-M07-I03,Water & Effluents,Water Recycling & Reuse,Report the volume and percentage of water recycled or reused within your organization's operations.,Data Table,Kilolitres (KL); % of total withdrawal,Current FY + Previous FY,Report total volume of water recycled or reused within the organization. Express as both an absolute volume and as a percentage of total water withdrawal. Describe the recycling systems in place.,—,—,—,—,0,,,,
IMP-M07-I04,Water & Effluents,Water Discharge by Destination,"Report water discharged by destination (surface water, groundwater, seawater, third-parties) and the level of treatment applied (no treatment, with treatment — specify level).",Data Table,Kilolitres (KL); Treatment level,Current FY + Previous FY,"Report water discharged by destination (surface water, groundwater, sea, third-party) and by level of treatment applied (none, primary, secondary, tertiary). Report total discharge volume. Indicate if independently assured.",—,—,—,✓,1,,,,GRI-303-4a | GRI-303-4i | GRI-303-4b | GRI-303-4c | GRI-303-4d | GRI-303-4e
IMP-M07-I05,Water & Effluents,Water Intensity,"Report your organization's water intensity per unit of revenue, production, or other relevant activity metric. Specify the metric used.",Data Table,KL per INR crore / KL per unit produced,Current FY + Previous FY,"Report water intensity using at least one activity metric. Specify the denominator (revenue, production, area) and the scope of water included (withdrawal or consumption).",—,✓,—,—,1,,CDP-9.5 | CDP-9.6 | CDP-9.6.1 | CDP-9.7 | CDP-9.7.1 | CDP-9.8 | CDP-9.9 | CDP-9.10.1,,
IMP-M07-I06,Water & Effluents,Water Withdrawal & Discharge in Stressed Areas,"For operations in water-stressed areas, report water withdrawal, consumption, and discharge data separately by facility or plant location.",Data Table,Kilolitres (KL),Current FY + Previous FY,"For each facility located in a water-stressed area (per WRI Aqueduct or equivalent), report water withdrawal by source, total consumption, and discharge by destination and treatment level. Name the area and nature of operations.",—,—,—,—,0,,,,
IMP-M07-I07,Water & Effluents,Effluent Quality Management,"Describe minimum standards set for the quality of effluent discharged, including how standards are applied in locations with no local discharge requirements.",Narrative,Text; mg/L or applicable unit,As at reporting date,"Describe minimum quality standards set for effluent discharge. Include parameters monitored (BOD, COD, TSS, heavy metals, etc.), applicable regulatory limits, and how standards are applied in locations without local requirements.",—,—,—,✓,1,,,,GRI-303-2a | GRI-303-2i
IMP-M07-I08,Water & Effluents,Zero Liquid Discharge,"Has your organization implemented a Zero Liquid Discharge (ZLD) mechanism? If yes, describe its scope and coverage.",Yes / No + Description,% coverage,As at reporting date,"State whether Zero Liquid Discharge (ZLD) has been implemented. If yes, describe the plants or facilities covered, the technology used, volume of water recycled through ZLD, and compliance with relevant regulatory requirements.",✓,—,—,—,1,BRSR-4 | BRSR-4,,,
IMP-M07-I09,Water & Effluents,Water-Related Targets & Commitments,"What are your organization's water-related targets (reduction, recycling, efficiency)? Report progress against these targets and timelines.",Data Table + Narrative,KL or %; Target year,Current FY vs. target year,"State specific water-related targets (reduction in withdrawal, increase in recycling, efficiency improvement). For each target, report the base year, target year, baseline value, and current performance.",—,✓,✓,—,2,,CDP-9.11,EV-ENV3229,
IMP-M07-I10,Water & Effluents,Interactions with Water as a Shared Resource,"Describe how your organization interacts with water as a shared resource, including water-related impacts, how they are identified, and how they are addressed.",Narrative,Text,As at reporting date,"Describe how the organization interacts with and depends on shared water resources. Explain the approach to identifying water-related impacts, stakeholder engagement on water, and mitigation or adaptation measures applied.",—,—,—,✓,1,,,,GRI-303-1a | GRI-303-1b | GRI-303-1c | GRI-303-1d
  M08  ·  WASTE & MATERIALS,,,,,,,,,,,,,,,,
IMP-M08-I01,Waste & Materials,Total Waste Generated,"Report total waste generated by your organization, broken down by type: plastic waste, e-waste, bio-medical waste, construction and demolition waste, battery waste, radioactive waste, hazardous waste, and non-hazardous waste (in metric tonnes).",Data Table,Metric tonnes (MT),Current FY + Previous FY,"Report total waste generated broken down by type: plastic waste, e-waste, bio-medical waste, construction and demolition waste, battery waste, radioactive waste, hazardous waste (specify types), and non-hazardous waste. Indicate if independently assured.",✓,—,✓,✓,3,BRSR-8 | BRSR-8,,EV-ENV3549,GRI-306-1a | GRI-306-1i | GRI-306-1b | GRI-306-3a | GRI-306-3b | GRI-306-3i | GRI-306-3c | GRI-306-1a | GRI-306-1i | GRI-306-3a | GRI-306-3b
IMP-M08-I02,Waste & Materials,Waste Recycled & Recovered,"Report total waste diverted from disposal through recycling, reuse, composting, and other recovery operations, by waste category (in metric tonnes).",Data Table,Metric tonnes (MT),Current FY + Previous FY,"For each waste category, report the volume diverted from disposal through recycling, reuse, composting, anaerobic digestion, or other recovery operations. Report as both absolute volume and percentage of total waste generated.",—,—,—,✓,1,,,,GRI-306-4a | GRI-306-4i | GRI-306-4b | GRI-306-4c | GRI-306-4a | GRI-306-4b | GRI-306-4i | GRI-306-4c | GRI-306-4d | GRI-306-4e
IMP-M08-I03,Waste & Materials,Waste Disposed,"Report total waste disposed by disposal method: incineration, landfilling, and other disposal operations, by waste category (in metric tonnes).",Data Table,Metric tonnes (MT),Current FY + Previous FY,"For each waste category, report the volume disposed of by disposal method: incineration (with and without energy recovery), landfilling, deep-well injection, and other disposal methods.",—,—,—,✓,1,,,,GRI-306-5a | GRI-306-5i | GRI-306-5a | GRI-306-5b | GRI-306-5i | GRI-306-5c | GRI-306-5d | GRI-306-5e
IMP-M08-I04,Waste & Materials,Hazardous Waste Management,"Describe your strategy and practices for managing hazardous and toxic waste, including reduction targets, handling procedures, and regulatory compliance.",Narrative,Metric tonnes (MT); INR / USD,Current FY,"Describe the strategy and processes for managing hazardous and toxic waste. Include the types of hazardous waste generated, reduction targets, handling and storage procedures, approved disposal contractors, and regulatory compliance status.",✓,—,✓,✓,3,BRSR-9 | BRSR-9,,EV-ENV3525,GRI-306-2a | GRI-306-2v | GRI-306-2b | GRI-306-2c | GRI-306-2i | GRI-306-2a | GRI-306-2b | GRI-306-2c
IMP-M08-I05,Waste & Materials,Materials Used in Production,"Report the total weight or volume of materials used in production or service delivery, broken down by renewable and non-renewable materials.",Data Table,Metric tonnes (MT) or cubic metres,Current FY + Previous FY,"Report total materials used in production or service delivery, broken down by material type and classified as renewable or non-renewable. Where possible, specify materials by weight or volume.",—,—,—,✓,1,,,,GRI-301-1a | GRI-301-1i
IMP-M08-I06,Waste & Materials,Recycled Input Materials,What percentage of your input materials are recycled or reused? Report by material type for the current and previous financial year.,Data Table,% of total input materials (by value or weight),Current FY + Previous FY,"Report the percentage of input materials sourced as recycled or reclaimed content, by material type. Describe how recycled content is verified and measured.",—,—,—,✓,1,,,,GRI-301-2a
IMP-M08-I07,Waste & Materials,Product End-of-Life Management,"Describe the processes in place to reclaim and manage products at end of life, including plastics/packaging, e-waste, and hazardous waste.",Narrative,Metric tonnes (MT) reclaimed,Current FY + Previous FY,"Describe end-of-life reclaim and management processes for: (a) plastics and packaging, (b) e-waste, (c) hazardous waste, and (d) other categories. Report volumes reclaimed, reused, recycled, and safely disposed.",✓,—,—,✓,2,BRSR-3 | BRSR-3,,,GRI-301-3a | GRI-301-3b
IMP-M08-I08,Waste & Materials,Extended Producer Responsibility (EPR),"Is Extended Producer Responsibility (EPR) applicable to your organization? If yes, is your waste collection plan aligned with the EPR plan submitted to the relevant Pollution Control Board?",Yes / No + Description,Text,Current FY,"State whether EPR obligations apply to your organization. If yes, describe the product categories covered, the waste collection targets set, actual collection achieved, and whether the EPR plan filed with the Pollution Control Board is being met.",✓,—,—,—,1,BRSR-4 | BRSR-4,,,
IMP-M08-I09,Waste & Materials,Packaging Management,Report reclaimed products and their packaging materials as a percentage of total products sold per product category.,Data Table,% of products sold,Current FY + Previous FY,"For each major product category, report reclaimed products and their packaging materials as a percentage of total products sold. Describe the take-back or collection mechanisms in place.",—,—,—,—,0,,,,
  M09  ·  AIR QUALITY,,,,,,,,,,,,,,,,
IMP-M09-I01,Air Quality,NOx Emissions,"Report total NOx emissions by source, in appropriate units, along with the methodology used.",Data Table,Metric tonnes (MT) or kg,Current FY + Previous FY,"Report total NOx emissions by source (stationary combustion, process, fugitive). Specify the unit of measurement and the measurement or calculation methodology applied.",✓,—,—,✓,2,BRSR-5 | BRSR-5,,,GRI-305-7a | GRI-305-7v | GRI-305-7b | GRI-305-7c
IMP-M09-I02,Air Quality,SOx Emissions,"Report total SOx emissions by source, in appropriate units, along with the methodology used.",Data Table,Metric tonnes (MT) or kg,Current FY + Previous FY,Report total SOx emissions by source. Specify the unit and the measurement or estimation methodology applied. Note any SO2 abatement systems in operation.,—,—,—,—,0,,,,
IMP-M09-I03,Air Quality,Particulate Matter (PM) Emissions,"Report total particulate matter (PM) emissions by source, in appropriate units, along with the methodology used.",Data Table,Metric tonnes (MT) or kg,Current FY + Previous FY,"Report total PM2.5 and PM10 emissions separately where possible. Specify sources, measurement methodology, and monitoring frequency.",—,—,—,—,0,,,,
IMP-M09-I04,Air Quality,Volatile Organic Compounds (VOC),"Report total volatile organic compound (VOC) emissions by source, in appropriate units, along with the methodology used.",Data Table,Metric tonnes (MT) or kg,Current FY + Previous FY,"Report total VOC emissions by source process. Specify the unit of measurement, key VOC compounds emitted where known, and the methodology used.",—,—,—,—,0,,,,
IMP-M09-I05,Air Quality,Persistent Organic Pollutants (POP),"Report total persistent organic pollutant (POP) emissions by source, in appropriate units, along with the methodology used.",Data Table,Metric tonnes (MT) or kg,Current FY + Previous FY,"Report total POP emissions or releases (air, water, land) by type (e.g., dioxins, furans, PCBs). Specify the unit of measurement and the identification and measurement methodology.",—,—,—,—,0,,,,
IMP-M09-I06,Air Quality,Hazardous Air Pollutants (HAP),"Report total hazardous air pollutant (HAP) emissions by source, in appropriate units, along with the methodology used.",Data Table,Metric tonnes (MT) or kg,Current FY + Previous FY,"Report total HAP emissions by compound or compound group. Specify the unit of measurement, regulatory thresholds applicable, and the monitoring or estimation methodology used.",—,—,—,—,0,,,,
IMP-M09-I07,Air Quality,Air Quality Compliance & Monitoring,"Is your organization compliant with applicable air quality regulations? Report any non-compliances, regulatory actions, monitoring mechanisms, and corrective actions taken.",Mixed,Number of non-compliances; INR / USD penalties,Current FY,"State whether the organization is compliant with applicable air quality regulations (e.g., Air (Prevention and Control of Pollution) Act or equivalent). Report any non-compliances, monitoring mechanisms deployed, and corrective actions taken.",—,✓,✓,—,2,,CDP-7.41 | CDP-7.41.1 | CDP-7.42 | CDP-7.42.1 | CDP-7.43 | CDP-7.43.1 | CDP-7.43.2 | CDP-7.43.3 | CDP-7.43.4 | CDP-7.44 | CDP-7.45 | CDP-7.46,EV-ENV4121,
  M10  ·  BIODIVERSITY & LAND USE,,,,,,,,,,,,,,,,
IMP-M10-I01,Biodiversity & Land Use,Policies & Commitments on Biodiversity,"Describe your organization's policies and commitments to halt and reverse biodiversity loss, including goals, targets, and how they align with global frameworks (e.g., Kunming-Montreal GBF).",Narrative,Text; Target year,As at reporting date,"Describe all policies, commitments, and strategies in place to halt and reverse biodiversity loss. State alignment with global frameworks (e.g., Kunming-Montreal Global Biodiversity Framework, Taskforce on Nature-related Financial Disclosures).",—,✓,—,✓,2,,CDP-11.1 | CDP-11.1.1 | CDP-11.9 | CDP-11.9.1 | CDP-11.10 | CDP-11.11 | CDP-11.11.1 | CDP-11.12 | CDP-11.12.1 | CDP-11.13 | CDP-11.13.1 | CDP-11.14 | CDP-11.14.1 | CDP-11.15 | CDP-11.15.1 | CDP-11.16 | CDP-11.16.1 | CDP-11.17 | CDP-11.17.1 | CDP-11.18 | CDP-11.18.1 | CDP-11.19 | CDP-11.19.1 | CDP-11.20 | CDP-11.20.1,,GRI-101-1a | GRI-101-1b | GRI-101-1c
IMP-M10-I02,Biodiversity & Land Use,Operations in or near Sensitive Areas,"Does your organization have operations or sites located in or near biodiversity-sensitive areas (national parks, wildlife sanctuaries, wetlands, biosphere reserves, coastal regulation zones)? If yes, provide details.",Data Table,Number of sites; Hectares,As at reporting date,"List operations or sites located in or adjacent to nationally or internationally protected areas or biodiversity-sensitive ecosystems. For each, describe the type of operations and compliance with environmental approvals or clearances.",✓,✓,✓,✓,4,BRSR-10,CDP-11.2,EV-ENV6313,GRI-101-4a | GRI-304-1a | GRI-304-1i | GRI-304-1v
IMP-M10-I03,Biodiversity & Land Use,Biodiversity Impacts Assessment,"Has your organization conducted biodiversity impact assessments for its operations? Describe the assessment methodology, findings, and whether conducted by an independent agency.",Narrative,Text; % of operations assessed,Current FY,"Describe biodiversity impact assessments conducted. Include methodology, scope, key findings (positive and negative impacts), whether assessments were by independent agencies, and whether results are publicly available.",—,✓,—,✓,2,,CDP-11.3,,GRI-101-2a | GRI-101-2i | GRI-101-2v | GRI-101-2b | GRI-101-2c | GRI-101-2d | GRI-101-2e | GRI-101-2f | GRI-304-2a | GRI-304-2i | GRI-304-2v | GRI-304-2b
IMP-M10-I04,Biodiversity & Land Use,Biodiversity Mitigation & Restoration,"Describe the mitigation and restoration actions taken to address negative biodiversity impacts, applying the mitigation hierarchy (avoid, minimize, restore, offset).",Narrative,Text; Hectares restored,Current FY,"Describe actions taken to mitigate negative biodiversity impacts, applying the mitigation hierarchy: avoidance, minimization, restoration, and offsets/compensation. Report areas restored or under restoration.",—,✓,—,✓,2,,CDP-11.4 | CDP-11.4.1 | CDP-11.7 | CDP-11.7.1,,GRI-101-3a | GRI-101-3b | GRI-101-7a | GRI-101-7i | GRI-101-7b | GRI-304-3a | GRI-304-3b | GRI-304-3c | GRI-304-3d
IMP-M10-I05,Biodiversity & Land Use,Biodiversity Dependencies & Ecosystem Services,Identify your organization's dependencies on ecosystem services. Describe how these dependencies are managed and the risks they pose to your business.,Narrative,Text,As at reporting date,"Identify ecosystem services on which operations depend (e.g., water provisioning, pollination, climate regulation). Describe how these dependencies are assessed, managed, and disclosed in risk frameworks.",—,✓,—,✓,2,,CDP-11.5 | CDP-11.5.1 | CDP-11.8,,GRI-101-5a | GRI-101-5b | GRI-101-5i | GRI-101-5v | GRI-101-5c | GRI-101-5d
IMP-M10-I06,Biodiversity & Land Use,Species & Habitat Affected,"Report on species and habitats affected by your operations, including any species on the IUCN Red List impacted by your activities.",Data Table + Narrative,Number of species; IUCN category,Current FY,Report species listed on the IUCN Red List or national equivalents that are impacted by the organization's activities. Describe habitats affected by operations and mitigation actions taken.,—,✓,—,✓,2,,CDP-11.6 | CDP-11.6.1,,GRI-101-6a | GRI-101-6i | GRI-101-6b | GRI-101-6c | GRI-101-6d | GRI-101-6e | GRI-101-6f | GRI-304-4a | GRI-304-4i | GRI-304-4v
  M11  ·  FORESTS & DEFORESTATION,,,,,,,,,,,,,,,,
IMP-M11-I01,Forests & Deforestation,Forest Commodity Sourcing,"Which forest-risk commodities (timber, palm oil, soy, cattle, cocoa, coffee, rubber) does your organization source? Describe the volumes, geographies, and sourcing channels.",Data Table,Metric tonnes (MT) or cubic metres; % by geography,Current FY,"List all forest-risk commodities sourced (timber, palm oil, soy, cattle/leather, cocoa, coffee, rubber). For each, report volume sourced, geographies of origin, and sourcing channel (directly from producers vs. through traders).",—,✓,—,—,1,,CDP-1.24.2 | CDP-8.1 | CDP-8.1.1 | CDP-8.9 | CDP-8.9.1 | CDP-8.9.2 | CDP-8.9.3 | CDP-8.9.4 | CDP-8.10 | CDP-8.10.1 | CDP-8.11 | CDP-8.11.1 | CDP-8.12 | CDP-8.12.1 | CDP-8.13 | CDP-8.13.1 | CDP-8.14 | CDP-8.15 | CDP-8.15.1 | CDP-8.15.2 | CDP-8.15.3 | CDP-8.16 | CDP-8.16.1 | CDP-8.17 | CDP-8.17.1,,
IMP-M11-I02,Forests & Deforestation,Deforestation Risk Assessment,"Describe your organization's approach to assessing deforestation and conversion risk in your supply chain, including tools, data sources, and coverage.",Narrative,Text; % supply chain assessed,Current FY,"Describe the approach, tools (e.g., Global Forest Watch, Trase, satellite monitoring), and data sources used to assess deforestation and ecosystem conversion risk in the supply chain. Report the proportion of supply chain covered.",—,✓,—,—,1,,CDP-8.2 | CDP-8.2.1 | CDP-8.3,,
IMP-M11-I03,Forests & Deforestation,Zero-Deforestation Commitments,"Has your organization made a commitment to eliminate deforestation from its supply chain? Describe the scope, timeline, and implementation strategy.",Yes / No + Description,Text; Target year,As at reporting date,"State whether a no-deforestation or no-conversion commitment has been made. Describe the scope (commodities, geographies, supply chain tiers), target year, and implementation mechanism.",—,✓,—,—,1,,CDP-8.4 | CDP-8.4.1,,
IMP-M11-I04,Forests & Deforestation,Forest Certifications & Traceability,"What forest-related certifications does your organization hold or require from suppliers (e.g., FSC, PEFC, RSPO)? Describe the level of supply chain traceability achieved.",Data Table,% of volume certified; Certification name,Current FY,"Report the volume and percentage of forest-risk commodities sourced with recognized certifications (e.g., FSC, PEFC, RSPO, RTRS). Describe the level of supply chain traceability achieved (farm, mill, trader level).",—,✓,—,—,1,,CDP-8.5,,
IMP-M11-I05,Forests & Deforestation,Forests-Related Targets & Progress,What are your organization's deforestation-free sourcing targets? Report progress against commitments and the percentage of supply chain covered.,Data Table + Narrative,% certified; % traceable; Target year,Current FY vs. target year,"Report progress against deforestation-free sourcing targets. Include baseline data, current percentage of supply chain covered, and projected trajectory toward 100% compliance.",—,✓,—,—,1,,CDP-8.6 | CDP-8.6.1 | CDP-8.7 | CDP-8.7.1 | CDP-8.7.2 | CDP-8.8 | CDP-8.8.1,,
  M12  ·  PLASTICS,,,,,,,,,,,,,,,,
IMP-M12-I01,Plastics,Plastic Use & Production,"Report the types and volumes of plastic your organization produces, uses, or commercializes in its operations and value chain.",Data Table,Metric tonnes (MT),Current FY + Previous FY,"Report total volume of plastics used or produced across operations. Break down by polymer type where possible. Describe whether plastics are in products, packaging, or production processes.",—,✓,—,—,1,,CDP-10.1 | CDP-10.5 | CDP-10.5.1 | CDP-10.6,,
IMP-M12-I02,Plastics,Plastic Packaging,"Report the volume of plastic packaging used and the proportion that is recyclable, recycled-content, or reusable. Describe packaging reduction targets.",Data Table,Metric tonnes (MT); % recyclable,Current FY + Previous FY,"Report total plastic packaging used by type. State the percentage that is recyclable, recycled-content, or reusable. Describe reduction targets and timelines for transitioning to sustainable packaging alternatives.",—,✓,—,—,1,,CDP-10.2,,
IMP-M12-I03,Plastics,Plastic Waste Generated & Managed,"Report the volume of plastic waste generated, recycled, recovered, and disposed of during the reporting period.",Data Table,Metric tonnes (MT),Current FY + Previous FY,"Report total plastic waste generated, recycled, recovered through other means, and sent to disposal (landfill or incineration). Report as absolute volumes and as percentages of total plastic waste generated.",—,✓,—,—,1,,CDP-10.3,,
IMP-M12-I04,Plastics,Plastic Reduction Initiatives,"Describe initiatives to reduce plastic use, transition to alternative materials, or advance circular economy strategies for plastics in your operations.",Narrative,Text; MT avoided or reduced,Current FY,"Describe specific initiatives to reduce plastic use, shift to alternative materials, or apply circular economy principles to plastics. For each initiative, report the outcome (volume of plastic reduced or avoided).",—,✓,—,—,1,,CDP-10.4,,
IMP-M12-I05,Plastics,Value Chain Plastics Mapping,"Has your organization mapped where plastics are produced, used, and disposed of across your value chain? Describe the mapping scope and findings.",Yes / No + Description,Text,As at reporting date,"State whether the organization has mapped where plastics are produced, commercialized, used, and disposed of across the value chain. Describe the scope of the mapping and key findings.",—,✓,—,—,1,,CDP-1.24.1,,
  M13  ·  SUPPLY CHAIN & PROCUREMENT,,,,,,,,,,,,,,,,
IMP-M13-I01,Supply Chain & Procurement,Sustainable Sourcing Policy & Process,Does your organization have a sustainable sourcing policy? What percentage of input materials are sourced sustainably? Describe the criteria and verification process used.,Mixed,% of inputs sustainably sourced,Current FY + Previous FY,Confirm whether a sustainable sourcing policy is in place. Report the percentage of inputs sourced sustainably. Describe the criteria used to define 'sustainable' and the verification or audit mechanism applied.,✓,—,✓,✓,3,BRSR-2 | BRSR-2,,EV-SUP100 | EV-SUP300,GRI-204-1a | GRI-204-1b | GRI-204-1c
IMP-M13-I02,Supply Chain & Procurement,Supplier Environmental Assessment,"What percentage of your suppliers have been assessed for environmental performance? Describe the assessment criteria, findings, and corrective actions taken.",Mixed,% of suppliers assessed; Number of corrective actions,Current FY,"Report the percentage of suppliers (by value of business) assessed for environmental criteria. Describe the assessment methodology, key findings, and any corrective action plans implemented.",—,—,—,✓,1,,,,GRI-308-1a | GRI-308-2a | GRI-308-2b | GRI-308-2c | GRI-308-2d | GRI-308-2e
IMP-M13-I03,Supply Chain & Procurement,Supplier Social & Human Rights Assessment,"What percentage of your suppliers have been assessed for social and human rights performance? Describe the assessment criteria, findings, and corrective actions taken.",Mixed,% of suppliers assessed; Number of corrective actions,Current FY,"Report the percentage of suppliers (by value of business) assessed for social and human rights criteria (including labor rights, safety, child labor, forced labor). Describe findings and corrective actions taken.",—,—,—,✓,1,,,,GRI-414-1a | GRI-414-2a | GRI-414-2b | GRI-414-2c | GRI-414-2d | GRI-414-2e
IMP-M13-I04,Supply Chain & Procurement,Local & MSME Procurement,"What percentage of your procurement (by value) is sourced from MSMEs, local producers, or suppliers within the district and neighbouring districts? Describe any preferential procurement policies.",Data Table,% of procurement by value,Current FY + Previous FY,"Report the percentage of total procurement (by value) sourced from MSMEs, small producers, and local suppliers (within the district or neighbouring districts). Describe any preferential procurement policy and its implementation.",✓,—,✓,—,2,BRSR-4 | BRSR-4,,EV-SUP320,
IMP-M13-I05,Supply Chain & Procurement,Human Rights in Business Agreements,"Do human rights requirements form part of your business agreements, contracts, and supplier onboarding processes? Describe how this is implemented and verified.",Yes / No + Description,Text; % of contracts covered,As at reporting date,State whether human rights clauses are embedded in standard supplier contracts and business agreements. Describe the specific requirements included and how compliance is verified or monitored.,✓,—,—,—,1,BRSR-8,,,
